id,title,artist,count,year,duration,loudness,tempo,time_signature,key,danceability,energy,valence,explicit
0WtM2NBVQNNJLh6scP13H8,Calm Down,Rema & Selena Gomez,41,2023,239.31778,-5.206,106.999,4.0,11.0,0.801,0.806,0.802,False
1Lo0QY9cvc8sUB2vnIOxDT,Fast Car,Luke Combs,39,2023,265.49332,-5.52,97.994,4.0,8.0,0.712,0.603,0.67,False
07on0OB2cdPt79IFsgdRUy,Need A Favor,Jelly Roll,37,2023,197.4,-4.246,157.978,4.0,6.0,0.502,0.771,0.557,False
1odExI7RdWc4BT515LTAwj,Daylight,David Kushner,34,2023,212.95361,-9.475,130.09,4.0,2.0,0.508,0.43,0.324,False
2kYevr8cbIAH2ha8210Bnz,Love You Anyway,Luke Combs,33,2023,229.62666,-7.419,139.807,4.0,4.0,0.532,0.489,0.32,False
3Qu3Zh4WTKhP9GEXo0aDnb,Thought You Should Know,Morgan Wallen,32,2023,215.57152,-6.214,139.995,4.0,6.0,0.537,0.701,0.552,True
4uUG5RXrOk84mYEfFvj3cK,I'm Good (Blue),David Guetta & Bebe Rexha,31,2023,175.2381,-3.673,128.04,4.0,7.0,0.561,0.965,0.304,True
39OclE5hZematADrdfaWvE,Next Thing You Know,Jordan Davis,31,2023,175.22667,-8.253,78.534,4.0,5.0,0.549,0.608,0.399,False
3WMj8moIAXJhHsyLaqIIHI,Something In The Orange,Zach Bryan,31,2023,228.01329,-12.151,175.212,3.0,4.0,0.369,0.192,0.148,False
1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,Taylor Swift,31,2023,178.42667,-5.707,169.994,4.0,9.0,0.552,0.702,0.564,False
2LBqCSwhJGcFQeTHMVGwy3,Die For You,The Weeknd,31,2023,260.25333,-7.163,133.629,4.0,1.0,0.586,0.525,0.508,False
5W4kiM2cUYBJXKRudNyxjW,You Proof,Morgan Wallen,30,2023,157.47787,-5.068,119.706,4.0,9.0,0.728,0.818,0.681,False
1brnLTvarI9D1hLP6z2Ar8,Thank God,Kane Brown With Katelyn Brown,30,2023,174.56,-8.735,99.945,4.0,3.0,0.738,0.455,0.441,False
0JXXNGljqupsJaZsgSbMZV,Sure Thing,Miguel,29,2023,195.37334,-8.127,81.001,4.0,11.0,0.684,0.607,0.498,False
73RbfOTJIjHzi2pcVHjeHM,What It Is (Block Boy),Doechii Featuring Kodak Black,29,2023,189.825,-5.851,171.925,4.0,1.0,0.74,0.758,0.757,True
