,Unnamed: 0,title,artist,count,year
454,54,The Woo,Pop Smoke Featuring 50 Cent & Roddy Ricch,20,2020
455,55,Happy Anywhere,Blake Shelton Featuring Gwen Stefani,20,2020
456,56,Lovin' On You,Luke Combs,20,2020
457,57,More Hearts Than Mine,Ingrid Andress,20,2020
458,58,Party Girl,StaySolidRocky,20,2020
459,59,Toosie Slide,Drake,20,2020
460,60,Bluebird,Miranda Lambert,20,2020
461,61,God Whispered Your Name,Keith Urban,20,2020
462,62,Godzilla,Eminem Featuring Juice WRLD,20,2020
463,63,After Party,Don Toliver,20,2020
464,64,I Should Probably Go To Bed,Dan + Shay,20,2020
465,65,Wishing Well,Juice WRLD,20,2020
466,66,One Margarita,Luke Bryan,20,2020
467,67,Walk Em Down,NLE Choppa Featuring Roddy Ricch,20,2020
468,68,Come & Go,Juice WRLD x Marshmello,20,2020
469,69,B.S.,Jhene Aiko Featuring H.E.R.,20,2020
470,70,I Love My Country,Florida Georgia Line,20,2020
471,71,Pretty Heart,Parker McCollum,20,2020
472,72,Mood Swings,Pop Smoke Featuring Lil Tjay,20,2020
473,73,Cool Again,Kane Brown,20,2020
474,74,Rain On Me,Lady Gaga & Ariana Grande,20,2020
475,75,Rags2Riches,Rod Wave Featuring ATR Son Son,20,2020
476,76,The Bigger Picture,Lil Baby,20,2020
477,77,Slide,H.E.R. Featuring YG,20,2020
478,78,Popstar,DJ Khaled Featuring Drake,19,2020
479,79,Martin & Gina,Polo G,19,2020
480,80,"10,000 Hours",Dan + Shay & Justin Bieber,19,2020
481,81,Tap In,Saweetie,19,2020
482,82,Does To Me,Luke Combs Featuring Eric Church,19,2020
483,83,Dollaz On My Head,Gunna Featuring Young Thug,19,2020
484,84,Mood,24kGoldn Featuring iann dior,19,2020
485,85,Death Bed,Powfu Featuring beabadoobee,19,2020
486,86,Kings & Queens,Ava Max,19,2020
487,87,Slow Dance In A Parking Lot,Jordan Davis,19,2020
488,88,Roxanne,Arizona Zervas,19,2020
489,89,WAP,Cardi B Featuring Megan Thee Stallion,19,2020
490,90,everything i wanted,Billie Eilish,19,2020
491,91,Tusa,Karol G & Nicki Minaj,18,2020
492,92,BEST ON EARTH,Russ & BIA,18,2020
493,93,Girls In The Hood,Megan Thee Stallion,18,2020
494,94,Beer Can't Fix,Thomas Rhett Featuring Jon Pardi,18,2020
495,95,BOP,DaBaby,18,2020
496,96,My Ex's Best Friend,Machine Gun Kelly X blackbear,18,2020
497,97,Laugh Now Cry Later,Drake Featuring Lil Durk,18,2020
498,98,Lemonade,Internet Money & Gunna Featuring Don Toliver & NAV,18,2020
499,99,Like That,Doja Cat Featuring Gucci Mane,18,2020
500,0,Dancing With A Stranger,Sam Smith & Normani,45,2019
501,1,Wow.,Post Malone,44,2019
502,2,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,44,2019
503,3,Talk,Khalid,43,2019
504,4,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,42,2019
505,5,Without Me,Halsey,41,2019
